Data Source,World Development Indicators,,,,,,,,,,,,
,,,,,,,,,,,,,
Last Updated Date,1/2/2017,,,,,,,,,,,,
,,,,,,,,,,,,,
Country Name,Country Code,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aruba,ABW,25.4,28,30.9,52,58,62,69,74,78.9,83.78,88.66122693,
Andorra,AND,37.60576622,48.936847,70.87,70.04,78.53,81,81,86.43442462,94,95.9,96.91,
Afghanistan,AFG,1.224148084,2.107123645,1.9,1.84,3.55,4,5,5.454545455,5.9,7,8.26,
Angola,AGO,1.143366827,1.5,1.7,1.9,2.3,2.8,3.1,6.5,8.9,10.2,12.4,
Albania,ALB,6.043890864,9.609991316,15.03611541,23.86,41.2,45,49,54.65595904,57.2,60.1,63.2529327,
Arab World,ARB,8.393141725,11.65464791,14.20590224,18.59353118,21.5453539,24.5357799,26.5499875,29.95430206,32.34989589,36.00712985,39.52615407,
United Arab Emirates,ARE,40,52,61,63,64,68,78,84.9999915,88,90.4,91.24340578,
Argentina,ARG,17.72058337,20.9272021,25.94663294,28.11262348,34,45,51,55.8,59.9,64.7,69.40092102,
Armenia,ARM,5.252983352,5.631787777,6.021253397,6.21,15.3,25,32,37.5,41.9,54.62280586,58.24933222,
American Samoa,ASM,,,,,,,,,,,,
Antigua and Barbuda,ATG,27,30,34,38,42,47,52,58,63.4,64,65.2,
Australia,AUS,63,66,69.45,71.67,74.25,76,79.48769771,79,83.45349717,84,84.56051935,
Austria,AUT,58,63.6,69.37,72.87,73.45,75.17,78.7399931,80.02999392,80.6188,81,83.9263,
Azerbaijan,AZE,8.030375356,11.99217733,14.54,17.08,27.4,46,50,54.2,73.00000137,75.00001564,77,
Burundi,BDI,0.542142866,0.65759259,0.7,0.81,0.9,1,1.11,1.219999945,1.264218111,1.38,4.866224464,
Belgium,BEL,55.82,59.72,64.44,66,70,75,81.609996,80.71999055,82.1702,85,85.0529,
Benin,BEN,1.271031439,1.537854346,1.79,1.85,2.24,3.13,4.148323066,4.5,4.9,6,6.787702956,
Burkina Faso,BFA,0.469914489,0.632707564,0.75,0.92,1.13,2.4,3,3.725034916,9.1,9.4,11.38764617,
Bangladesh,BGD,0.241637326,1,1.8,2.5,3.1,3.7,4.5,5,6.63,13.9,14.4,
Bulgaria,BGR,19.97,27.09,33.64,39.67,45,46.23,47.97999305,51.89998767,53.0615,55.49,56.6563,
Bahrain,BHR,21.30373351,28.24395243,32.91,51.95,53,55,76.9999665,88,90.0000397,90.50313348,93.47830114,
"Bahamas, The",BHS,25,26,27,31.54,33.88,43,65,71.74820281,72,76.92,78,
